,course_id,course_title,url,platform,subject,level,num_subscribers,num_reviews,rating,num_lectures,content_duration,instructor,language,tags,course_type,learning_path,playlist_id,skill_level_score,popularity_score,last_updated,career_relevance_score,combined_features,level_num,title_clean
0,CRS_0001,Python for Everybody Specialization,https://www.coursera.org/specializations/python,Coursera,Python Programming,Beginner,0.1845526578967612,0.6432217069410188,0.7999999999999989,96,34.0,Charles Severance,English,"python,beginner,data structures,web scraping,databases",Video,Python Mastery Path,PL_011,1,0.7621487346685297,2024,0.5378286039328269,"Python for Everybody Specialization Python Programming Beginner python,beginner,data structures,web scraping,databases Python Mastery Path Charles Severance",1.0,python for everybody specialization
1,CRS_0002,The Complete Python Bootcamp From Zero to Hero,https://www.udemy.com/course/complete-python-bootcamp/,Udemy,Python Programming,Beginner,0.2768674513424109,0.9648536675089404,0.3999999999999986,155,22.0,Jose Portilla,English,"python,oop,decorators,generators,scripting",Video,Python Mastery Path,PL_011,1,0.8950473528955132,2024,0.5971264954261812,"The Complete Python Bootcamp From Zero to Hero Python Programming Beginner python,oop,decorators,generators,scripting Python Mastery Path Jose Portilla",1.0,the complete python bootcamp from zero to hero
2,CRS_0003,Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,Coursera,Machine Learning,Beginner,0.1383952611739364,0.3617937414440873,1.0,95,95.0,Andrew Ng,English,"supervised learning,regression,classification,neural networks,recommender",Video,ML Engineer Path,PL_009,1,0.6208663251047974,2024,0.4630600417928591,"Machine Learning Specialization Machine Learning Beginner supervised learning,regression,classification,neural networks,recommender ML Engineer Path Andrew Ng",1.0,machine learning specialization
3,CRS_0004,Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Coursera,Deep Learning,Intermediate,0.1307023617201323,0.3517427426763397,1.0,120,130.0,Andrew Ng,English,"neural networks,backprop,cnn,rnn,hyperparameter tuning",Video,ML Engineer Path,PL_009,2,0.6098431920509239,2024,0.455650150681316,"Deep Learning Specialization Deep Learning Intermediate neural networks,backprop,cnn,rnn,hyperparameter tuning ML Engineer Path Andrew Ng",2.0,deep learning specialization
4,CRS_0005,Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Coursera,Natural Language Processing,Intermediate,0.061466266635895,0.1306207697858936,0.7999999999999989,120,80.0,Younes Bensouda Mourri,English,"nlp,transformers,attention,sentiment,named entity recognition",Video,NLP & LLM Engineer Path,PL_010,2,0.3673342648657041,2024,0.2876352387421773,"Natural Language Processing Specialization Natural Language Processing Intermediate nlp,transformers,attention,sentiment,named entity recognition NLP & LLM Engineer Path Younes Bensouda Mourri",2.0,natural language processing specialization
5,CRS_0006,IBM Data Science Professional Certificate,https://www.coursera.org/professional-certificates/ibm-data-science,Coursera,Data Science,Beginner,0.1076236633587199,0.2713347525343593,0.3999999999999986,200,130.0,IBM Team,English,"python,sql,visualization,ml,capstone",Video,Data Scientist Path,PL_004,1,0.359260984319205,2024,0.2573541671729825,"IBM Data Science Professional Certificate Data Science Beginner python,sql,visualization,ml,capstone Data Scientist Path IBM Team",1.0,ibm data science professional certificate
6,CRS_0007,The Complete SQL Bootcamp - Go from Zero to Hero,https://www.udemy.com/course/the-complete-sql-bootcamp/,Udemy,SQL & Databases,Beginner,0.0922378644511116,0.2411817562311166,0.5999999999999996,100,9.0,Jose Portilla,English,"sql,postgresql,joins,subqueries,window functions",Video,Data Engineer Path,PL_003,1,0.3931066604564509,2024,0.2912000237069583,"The Complete SQL Bootcamp - Go from Zero to Hero SQL & Databases Beginner sql,postgresql,joins,subqueries,window functions Data Engineer Path Jose Portilla",1.0,the complete sql bootcamp - go from zero to hero
7,CRS_0008,Data Structures Easy to Advanced - Full Course,https://www.youtube.com/watch?v=RBSGKlAvoiM,YouTube,Data Structures & Algorithms,Beginner,1.0,0.1607737660891363,0.7999999999999989,1,8.0,freeCodeCamp,English,"arrays,linked lists,trees,graphs,hash tables",Video,Software Engineer Path,PL_013,1,0.9689489209750038,2024,0.7439832257172846,"Data Structures Easy to Advanced - Full Course Data Structures & Algorithms Beginner arrays,linked lists,trees,graphs,hash tables Software Engineer Path freeCodeCamp",1.0,data structures easy to advanced - full course
8,CRS_0009,The Web Developer Bootcamp 2024,https://www.udemy.com/course/the-web-developer-bootcamp/,Udemy,Web Development,Beginner,0.1307023617201323,0.3617937414440873,0.5999999999999996,490,74.0,Colt Steele,English,"html,css,javascript,node,express,mongodb,bootstrap",Video,Full-Stack Developer Path,PL_006,1,0.4918490917559385,2024,0.3545640803142557,"The Web Developer Bootcamp 2024 Web Development Beginner html,css,javascript,node,express,mongodb,bootstrap Full-Stack Developer Path Colt Steele",1.0,the web developer bootcamp 2024
9,CRS_0010,The Complete JavaScript Course 2024,https://www.udemy.com/course/the-complete-javascript-course/,Udemy,JavaScript,Beginner,0.1383952611739364,0.4019977365150775,0.5999999999999996,320,69.0,Jonas Schmedtmann,English,"javascript,es6,dom,async,closures,oop,promises",Video,Full-Stack Developer Path,PL_006,1,0.5216581276199348,2024,0.373269401063634,"The Complete JavaScript Course 2024 JavaScript Beginner javascript,es6,dom,async,closures,oop,promises Full-Stack Developer Path Jonas Schmedtmann",1.0,the complete javascript course 2024
10,CRS_0011,Docker and Kubernetes: The Complete Guide,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Udemy,Docker & Kubernetes,Intermediate,0.0445418878375259,0.116549371511047,0.3999999999999986,360,22.0,Stephen Grider,English,"docker,kubernetes,ci/cd,deployment,containers",Video,DevOps Engineer Path,PL_005,2,0.223878279770222,2024,0.1695026595749399,"Docker and Kubernetes: The Complete Guide Docker & Kubernetes Intermediate docker,kubernetes,ci/cd,deployment,containers DevOps Engineer Path Stephen Grider",2.0,docker and kubernetes: the complete guide
11,CRS_0012,AWS Certified Solutions Architect – Associate,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/,Udemy,Cloud Computing,Intermediate,0.1076236633587199,0.2813857513021069,0.5999999999999996,400,27.0,Stephane Maarek,English,"aws,ec2,s3,rds,vpc,lambda,iam",Video,Cloud & DevOps Path,PL_001,2,0.4275733581741965,2024,0.313529391635918,"AWS Certified Solutions Architect – Associate Cloud Computing Intermediate aws,ec2,s3,rds,vpc,lambda,iam Cloud & DevOps Path Stephane Maarek",2.0,aws certified solutions architect – associate
12,CRS_0013,MLOps Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Coursera,MLOps,Advanced,0.0230017693668743,0.0401617808761656,0.5999999999999996,100,70.0,Andrew Ng,English,"mlops,model deployment,cicd ml,monitoring,data pipeline",Video,ML Engineer Path,PL_009,3,0.2252755783263468,2024,0.1831461801627167,"MLOps Specialization MLOps Advanced mlops,model deployment,cicd ml,monitoring,data pipeline ML Engineer Path Andrew Ng",3.0,mlops specialization
